registry_id,fac_src,Stone_Unique_ID_revised,geo_id_revised,stat_land_comb,uncertainty_class,registry_stone_id,note
110000461107,facilities_20220311.csv,343139,0600520050001,NA,3,110000461107,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000462883,facilities_20220311.csv,111769,1005150001021,NA,3,110000462883,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000463622,facilities_20220311.csv,84528,0642230000188,NA,3,110000463622,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110005047546,facilities_20220311.csv,674960,1447880010001,NA,3,110005047546,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110021106435,facilities_20220311.csv,92462,1005150001023,NA,3,110021106435,"Direct location match with other parcel (not industrial, commercial, or vacant) e.g. residential or exempt. May be of petrochemical interest."
110000463686,facilities_20220311.csv,120951,0231450000941,NA,4.3,110000463686,"No direct location match. Only other parcel classes (not industrial, commercial, or vacant) e.g. residential or exempt within 100 m. Facility least likely to be of petrochemical interest and/or most likely to have inaccurate location data."
110005113705,facilities_20220311.csv,40036,0731250000043,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,46128,0731250000036,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,46268,0731250000039,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,47661,0731250000042,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,49459,0731250000050,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,52845,0731250000037,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,55610,0731250000048,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,57702,0731250000041,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,65206,0731250000049,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,65637,0731250000040,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110005113705,facilities_20220311.csv,87669,0731250000044,C3,4.2,110005113705,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110009313331,facilities_20220311.csv,71034,0431840000001,C3,4.2,110009313331,No direct location match. Commercial or vacant land parcel within 100 m of point. Could be gas station or legacy facility. May be of petrochemical interest.
110024422409,facilities_20220311.csv,120951,0231450000941,NA,4.3,110024422409,"No direct location match. Only other parcel classes (not industrial, commercial, or vacant) e.g. residential or exempt within 100 m. Facility least likely to be of petrochemical interest and/or most likely to have inaccurate location data."
110038705817,facilities_20220311.csv,120951,0231450000941,NA,4.3,110038705817,"No direct location match. Only other parcel classes (not industrial, commercial, or vacant) e.g. residential or exempt within 100 m. Facility least likely to be of petrochemical interest and/or most likely to have inaccurate location data."
NA,NA,6774,0450740000265,F2,5,6774,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,20692,0450740000005,F2,5,20692,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,72548,1005150000448,F2,5,72548,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,73016,0410320010045,F2,5,73016,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,73827,0440500000192,F2,5,73827,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,76836,0642220000015,F2,5,76836,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,77041,1005150000499,F2,5,77041,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,78567,0402400050043,F2,5,78567,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,78673,0402400050018,F2,5,78673,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,80295,0642230000152,F2,5,80295,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,80686,0650430100020,F2,5,80686,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,82262,1005150000052,F2,5,82262,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,82283,0642230000028,F2,5,82283,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,82605,1175270010003,F2,5,82605,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,84095,0642230000045,F2,5,84095,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,84098,1005150000110,F2,5,84098,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,84335,0642230000140,F2,5,84335,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,84836,1005150000551,F2,5,84836,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,85971,0402400050011,F2,5,85971,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,86330,0410320010030,F2,5,86330,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,86348,1005150000691,F2,5,86348,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,87153,1005150000724,F2,5,87153,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,87885,0402400050036,F2,5,87885,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,88529,0642230000153,F2,5,88529,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,88589,1005150000423,F2,5,88589,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,89154,0431490010406,F2,5,89154,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,90788,1266420010003,F2,5,90788,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,91146,1005150000482,F2,5,91146,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,93460,0410020050157,F2,5,93460,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,94796,0401740000033,F2,5,94796,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,96217,1005150000424,F2,5,96217,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,97458,0410030000791,F2,5,97458,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,98576,0402400050083,F2,5,98576,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,98592,9700000000205,F2,5,98592,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,98740,0642230000169,F2,5,98740,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,99125,0241120340005,F2,5,99125,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,99316,1005150000703,F2,5,99316,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,100466,0642230000013,F2,5,100466,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,100847,0460290000118,F2,5,100847,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,101381,1005740000072,F2,5,101381,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,101778,1005150000725,F2,5,101778,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,102256,1005150000695,F2,5,102256,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,102268,1005150000057,F2,5,102268,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,102608,1005150000150,F2,5,102608,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,102616,0642230000016,F2,5,102616,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,102735,1266420010005,F2,5,102735,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,104291,1005150000714,F2,5,104291,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,104604,0650430100005,F2,5,104604,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,104613,1309900010002,F2,5,104613,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,104721,1175270010008,F2,5,104721,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,104798,1005150001013,F2,5,104798,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,105261,1005150000623,F2,5,105261,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,105619,1005150000003,F2,5,105619,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,106314,0642230000017,F2,5,106314,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,106816,1005150000044,F2,5,106816,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,107212,0431490010324,F2,5,107212,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,107327,9700000000183,F2,5,107327,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,107466,1005150000644,F2,5,107466,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,107675,0431490010151,F2,5,107675,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,108313,9700000000197,F2,5,108313,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,109070,1005150000633,F2,5,109070,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,109106,0650430100002,F2,5,109106,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,109303,0440500000010,F2,5,109303,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,109833,0401740000095,F2,5,109833,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,110072,9700000000192,F2,5,110072,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,111194,0402400050155,F2,5,111194,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,111201,9700000000216,F2,5,111201,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,111418,0431490010355,F2,5,111418,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,112320,0440990010030,F2,5,112320,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,114008,9700000000198,F2,5,114008,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,115769,0650430100004,F2,5,115769,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,115772,0410320010118,F2,5,115772,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,117260,0402400050008,F2,5,117260,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,117357,0650430100006,F2,5,117357,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,117820,0410320010020,F2,5,117820,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,118090,1266420010001,F2,5,118090,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,119078,0642230000141,F2,5,119078,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,119769,0642230000175,F2,5,119769,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,119812,0410320010007,F2,5,119812,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,120559,0440990000055,F2,5,120559,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,121285,0402400050009,F2,5,121285,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,122355,0402400050119,F2,5,122355,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,123521,0440990000127,F2,5,123521,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,123835,9700000000208,F2,5,123835,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,124308,1005150000562,F2,5,124308,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,128795,0410030000159,F2,5,128795,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,130220,0410030000830,F2,5,130220,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,134724,0410030000150,F2,5,134724,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,136756,0410030000024,F2,5,136756,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,143398,0410030000839,F2,5,143398,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,144589,0410030000787,F2,5,144589,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,161007,0410150070009,F2,5,161007,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,165352,0420910000089,F2,5,165352,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,170039,0420910000010,F2,5,170039,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,175380,0420910000012,F2,5,175380,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,176166,0480680000038,F2,5,176166,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,177206,0410700000320,F2,5,177206,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,184466,0401680000001,F2,5,184466,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,186515,0410150070010,F2,5,186515,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,188373,0401680000201,F2,5,188373,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,190596,0151290010027,F2,5,190596,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,191392,0410700000317,F2,5,191392,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,192720,0401680000134,F2,5,192720,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,197598,0410150050088,F2,5,197598,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,201570,0502120000019,F2,5,201570,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,215132,0420910000090,F2,5,215132,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,217791,0480680000034,F2,5,217791,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,219265,0591400150004,F2,5,219265,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,221888,0410700000312,F2,5,221888,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,224656,0410320000538,F2,5,224656,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,225609,0410290040164,F2,5,225609,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,230023,0410020050152,F2,5,230023,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,230222,1167500020039,F2,5,230222,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,232626,9700000000224,F2,5,232626,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,234224,0410020050113,F2,5,234224,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,235065,0402650020021,F2,5,235065,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,235258,0402650020016,F2,5,235258,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,237387,1226870000001,F2,5,237387,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,237539,0402180010133,F2,5,237539,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,238425,0371890000004,F2,5,238425,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,239669,0450020010030,F2,5,239669,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,240713,0410290040057,F2,5,240713,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,241109,0402460000107,F2,5,241109,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,241584,0371890000051,F2,5,241584,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,244782,0291330000020,F2,5,244782,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,247238,1167500020024,F2,5,247238,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,247602,0410290040182,F2,5,247602,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,247835,0281820000004,F2,5,247835,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,247936,0440990010110,F2,5,247936,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,250314,1167500020004,F2,5,250314,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,250820,0410340030153,F2,5,250820,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,254428,0402650020020,F2,5,254428,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,256673,0450020010204,F2,5,256673,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,257354,0670230050087,F2,5,257354,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,257876,0410020050121,F2,5,257876,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,258903,1167500010007,F2,5,258903,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,258964,0410020050065,F2,5,258964,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,260421,0410320000531,F2,5,260421,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,260585,1263430010002,F2,5,260585,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,263317,0440990010056,F2,5,263317,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,263862,0410020050148,F2,5,263862,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,263935,0371890000047,F2,5,263935,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,263964,0410290040175,F2,5,263964,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,263987,0410290040185,F2,5,263987,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
NA,NA,265054,0402460000142,F2,5,265054,Industrial land. No facility points within 100 m. Chemical data will be missing but chemical release potential exists. Will need manual checks if these areas show severe flood risk.
