Subbasin,total_bfull_days,mean_bfull_days,site_no,station_nm,usgs_site_no,usgs_data,minor_flood_stage_ft,major_flood_stage_ft
228,645,3.816568047,8074710,"Buffalo Bayou at Turning Basin, Houston, TX",8074710,0,,
169,290,2.248062016,8076700,"Greens Bayou at Ley Rd, Houston, TX",8076700,1,30,33
243,234,2.25,8075110,"Brays Bayou at MLK Jr Blvd, Houston, TX",8075110,0,,
266,187,1.968421053,8074800,"Keegans Bayou at Roark Rd nr Houston, TX",8074800,1,,
266,187,1.968421053,8074810,"Brays Bayou at Gessner Dr, Houston, TX",8074810,1,57,59
86,163,3.018518519,8069500,"W Fk San Jacinto Rv nr Humble, TX",8069500,1,,
170,148,1.662921348,8075763,"Hunting Bayou at Hoffman St, Houston, TX",8075763,1,,
302,144,2.117647059,8077637,"Clear Lk Second Outflow Channel at Kemah, TX",8077637,0,,
194,129,1.653846154,8074598,"Whiteoak Bayou at Main St, Houston, TX",8074598,1,,
201,118,1.903225806,8074610,"Buffalo Bayou at McKee St, Houston, TX",8074610,0,,
263,115,1.796875,8075500,"Sims Bayou at Houston, TX",8075500,1,26.2,28.2
314,108,1.894736842,8077600,"Clear Ck nr Friendswood, TX",8077600,1,12,21
224,94,1.958333333,8072350,"Buffalo Bayou nr Fulshear, TX",8072350,1,,
200,79,1.926829268,8074000,"Buffalo Bayou at Houston, TX",8074000,0,,
200,79,1.926829268,8074600,"Buffalo Bayou at Main St, Houston, TX",8074600,0,,
280,72,1.44,8075400,"Sims Bayou at Hiram Clarke St, Houston, TX",8075400,1,,
176,71,1.820512821,8072680,"S Mayde Ck at Heathergold Dr nr Addicks, TX",8072680,0,,
176,71,1.820512821,8072700,"S Mayde Ck nr Addicks, TX",8072700,0,,
176,71,1.820512821,8072730,"Bear Ck nr Barker, TX",8072730,1,111,113.5
176,71,1.820512821,8072800,"Langham Ck nr Addicks, TX",8072800,1,,
291,67,1.425531915,8076997,"Clear Ck at Mykawa St nr Pearland, TX",8076997,1,43.5,
254,65,1.511627907,8074760,"Brays Bayou at Alief, TX",8074760,1,,
184,52,1.3,8074500,"Whiteoak Bayou at Houston, TX",8074500,1,32,36
247,44,1.375,8075000,"Brays Bayou at Houston, TX",8075000,0,41,43
260,43,1.34375,8075730,"Vince Bayou at Pasadena, TX",8075730,0,,
288,39,1.344827586,8077000,"Clear Ck nr Pearland, TX",8077000,0,,
56,30,1.875,8068090,"W Fk San Jacinto Rv abv Lk Houston nr Porter, TX",8068090,0,81,92
111,30,1.578947368,8068720,"Cypress Ck at Katy-Hockley Rd nr Hockley, TX",8068720,0,157.3,160.6
114,30,1.363636364,8075780,"Greens Bayou at Cutten Rd nr Houston, TX",8075780,0,,
121,30,1.304347826,8076000,"Greens Bayou nr Houston, TX",8076000,0,55,59.5
109,29,1.318181818,8075900,"Greens Bayou nr US Hwy 75 nr Houston, TX",8075900,0,81.8,87.7
175,29,1.208333333,8075770,"Hunting Bayou at IH 610, Houston, TX",8075770,0,,
96,26,1.857142857,8068800,"Cypress Ck at Grant Rd nr Cypress, TX",8068800,0,122,125
96,26,1.857142857,8068900,"Cypress Ck at Stuebner-Airline Rd nr Westfield, TX",8068900,0,,
131,25,1.923076923,8072000,"Lk Houston nr Sheldon, TX",8072000,0,,
154,25,1.315789474,8072760,"Langham Ck at W Little York Rd nr Addicks, TX",8072760,0,109,111
196,24,1.263157895,8067074,"CWA Canal at Thompson Rd nr Baytown, TX",8067074,0,,
196,24,1.263157895,8067525,"Goose Ck at Baytown, TX",8067525,0,,
106,22,1.833333333,8068740,"Cypress Ck at House-Hahl Rd nr Cypress, TX",8068740,0,,
148,22,1.294117647,8074020,"Whiteoak Bayou at Alabonson Rd, Houston, TX",8074020,0,,
269,19,1.266666667,8075605,"Berry Bayou at Nevada St, Houston, TX",8075605,0,,
269,19,1.266666667,8075650,"Berry Bayou at Forest Oaks St, Houston, TX",8075650,0,,
57,18,1.8,8068325,"Willow Ck nr Tomball, TX",8068325,0,129.4,133.5
160,18,1.384615385,8076500,"Halls Bayou at Houston, TX",8076500,0,,
158,17,1.214285714,8074150,"Cole Ck at Deihl Rd, Houston, TX",8074150,0,,
129,16,1.6,8068700,"Cypress Ck at Sharp Rd nr Hockley, TX",8068700,0,,
181,16,1.454545455,8074540,"Little Whiteoak Bayou at Trimble St, Houston, TX",8074540,0,,
47,13,1.3,8068400,"Panther Br at Gosling Rd, The Woodlands, TX",8068400,0,,
47,13,1.3,8068450,"Panther Br nr Spring, TX",8068450,0,,
116,13,1.3,8076180,"Garners Bayou nr Humble, TX",8076180,0,,
167,12,1.2,8074250,"Brickhouse Gully at Costa Rica St, Houston, TX",8074250,0,,
32,10,1.428571429,8068390,"Bear Br at Research Blvd, The Woodlands, TX",8068390,0,,
95,10,2.5,8067500,"Cedar Bayou nr Crosby, TX",8067500,0,53.4,
99,10,1.666666667,8068780,"Little Cypress Ck nr Cypress, TX",8068780,0,,
232,10,1.428571429,8072300,"Buffalo Bayou nr Katy, TX",8072300,0,,
20,9,2.25,8068000,"W Fk San Jacinto Rv nr Conroe, TX",8068000,0,115.8,117.8
48,9,1.8,8068500,"Spring Ck nr Spring, TX",8068500,0,91.5,100
79,9,1.8,8069000,"Cypress Ck nr Westfield, TX",8069000,0,85.5,90
54,8,2,8068275,"Spring Ck nr Tomball, TX",8068275,0,155,159
1,7,2.333333333,8067548,"W Fk San Jacinto Rv nr Huntsville, TX",8067548,0,,
3,6,1.2,8067610,"Lk Conroe Outflow Weir nr Conroe, TX",8067610,0,,
3,6,1.2,8067650,"W Fk San Jacinto Rv bl Lk Conroe nr Conroe, TX",8067650,0,,
152,5,2.5,8072050,"San Jacinto Rv nr Sheldon, TX",8072050,0,10,15
202,5,1.25,8073898,"Neimans Bayou at IH 10, Houston, TX",8073898,0,,
221,5,1.25,8073600,"Buffalo Bayou at W Belt Dr, Houston, TX",8073600,0,62.2,65.3
221,5,1.25,8073700,"Buffalo Bayou at Piney Point, TX",8073700,0,52,60
12,4,4,8070500,"Caney Ck nr Splendora, TX",8070500,0,17,21
122,4,1.333333333,8076005,"Greens Bayou Trib at Smith Rd nr Houston, TX",8076005,0,,
2,3,1.5,8067600,"Lk Conroe nr Conroe, TX",8067600,0,,
36,3,3,8069800,"E Fk San Jacinto Rv at SH 150 nr Coldspring, TX",8069800,0,,
36,3,3,8070000,"E Fk San Jacinto Rv nr Cleveland, TX",8070000,0,19,23
36,3,3,8070200,"E Fk San Jacinto Rv nr New Caney, TX",8070200,0,58,69
115,3,1.5,8071280,"Luce Bayou abv Lk Houston nr Huffman, TX",8071280,0,,
115,3,1.5,8071500,"San Jacinto Rv nr Huffman, TX",8071500,0,,
29,2,2,8071000,"Peach Ck at Splendora, TX",8071000,0,14,19
24,1,1,8067700,"Caney Ck nr Dobbin, TX",8067700,0,,
