model_info,source_sub,receptor_sub,avg_solpst_in,avg_sorpst_in,count
chemtest_0508_koc50_138,138,138,3063291.0094524249,653.4672073511299,1461
chemtest_0508_koc50_138,138,148,712317.65164311987,343587.43541119335,1461
chemtest_0508_koc50_138,138,159,169642.781846954,206736.01520743323,1461
chemtest_0508_koc50_138,138,166,146888.14194670797,71189.222910089054,1461
chemtest_0508_koc50_138,138,184,109706.94584373037,35245.467826735068,1461
chemtest_0508_koc50_138,138,185,64525.429299169795,22563.301399883636,1461
chemtest_0508_koc50_138,138,188,880.61261806576613,272.75083051147004,1461
chemtest_0508_koc50_138,138,192,1146.9903106134179,404.65159383995365,1461
chemtest_0508_koc50_138,138,194,50038.863900533222,12563.24454935524,1461
chemtest_0508_koc50_138,138,201,39109.418276079508,7652.6390237159412,1461
chemtest_0508_koc50_138,138,206,21147.893140476244,10905.065732808225,1461
chemtest_0508_koc50_138,138,215,536.55068091541966,268.51979905726904,1461
chemtest_0508_koc50_138,138,216,1550.9938134508232,618.38689563241326,1461
chemtest_0508_koc50_138,138,217,4367.1615055751818,1701.6725003421479,1461
chemtest_0508_koc50_138,138,219,3339.9245444060402,1243.9964142925667,1461
chemtest_0508_koc50_138,138,220,2161.5344806986518,965.80876297285738,1461
chemtest_0508_koc50_138,138,225,371.26950169350994,184.80110894605556,1461
chemtest_0508_koc50_138,138,227,5630.7941065224031,2280.7861328647941,1461
chemtest_0508_koc50_138,138,228,15092.36819308301,7282.5823649671456,1461
chemtest_0508_koc50_138,138,234,9627.8607396762181,5502.0942910719305,1461
chemtest_0508_koc50_138,138,235,7742.0420830283383,3160.5606780567014,1461
chemtest_0508_koc50_138,138,236,262.12312568236416,125.96934090866685,1461
chemtest_0508_koc50_138,138,239,187.3151885325276,86.751600218427129,1461
chemtest_0508_koc50_138,138,252,131.95607471387743,60.247382824880937,1461
chemtest_0508_koc50_138,138,282,93.919439585633256,41.509049764641013,1461
chemtest_0508_koc50_138,138,322,65.6755119165395,28.695094543242984,1461
chemtest_0508_koc50_148,148,148,3443376.3591375812,821.3142725749492,1461
chemtest_0508_koc50_148,148,159,247010.26679466094,572596.55140889727,1461
chemtest_0508_koc50_148,148,166,230652.43619226513,166474.27064949393,1461
chemtest_0508_koc50_148,148,184,166976.37905030797,73200.752487481121,1461
chemtest_0508_koc50_148,148,185,93251.881425729,40519.91462800133,1461
chemtest_0508_koc50_148,148,188,1209.5970195729622,370.59907589336012,1461
chemtest_0508_koc50_148,148,192,1573.926431029673,549.9004344960988,1461
chemtest_0508_koc50_148,148,194,71391.2317424297,21095.493012121824,1461
chemtest_0508_koc50_148,148,201,54965.864066618706,12139.640373764538,1461
chemtest_0508_koc50_148,148,206,30045.134837759018,15551.454662778935,1461
chemtest_0508_koc50_148,148,215,737.9692802402742,366.0324835659822,1461
chemtest_0508_koc50_148,148,216,2127.370477469321,840.83739360129971,1461
chemtest_0508_koc50_148,148,217,6001.6183867854943,2337.117303099928,1461
chemtest_0508_koc50_148,148,219,4574.7452875519539,1698.9001478494142,1461
chemtest_0508_koc50_148,148,220,2964.706526793309,1314.5878843024641,1461
chemtest_0508_koc50_148,148,225,510.69531053636484,252.08046320698162,1461
chemtest_0508_koc50_148,148,227,7775.1640058598914,3164.3031819685152,1461
chemtest_0508_koc50_148,148,228,21411.734148236133,10306.044424065703,1461
chemtest_0508_koc50_148,148,234,13402.745403557854,7684.1628162080615,1461
chemtest_0508_koc50_148,148,235,10754.612221776335,4399.3007073518165,1461
chemtest_0508_koc50_148,148,236,360.72843527550242,171.85354510308053,1461
chemtest_0508_koc50_148,148,239,257.95227224752892,118.36619434804946,1461
chemtest_0508_koc50_148,148,252,181.70917914728255,82.229833195551052,1461
chemtest_0508_koc50_148,148,282,129.29836885660546,56.652239867624935,1461
chemtest_0508_koc50_148,148,322,90.320519461677009,39.1595544426078,1461
chemtest_0508_koc50_149,149,149,5751857.9714579079,5051.2692882819865,1461
chemtest_0508_koc50_149,149,159,1253028.7749878883,500507.38277087663,1461
chemtest_0508_koc50_149,149,166,431315.04666091758,365379.58295763185,1461
chemtest_0508_koc50_149,149,184,308004.7078412046,154149.1683711909,1461
chemtest_0508_koc50_149,149,185,170511.72370494215,80578.635988644892,1461
chemtest_0508_koc50_149,149,188,2166.2618207375235,659.83573516081276,1461
chemtest_0508_koc50_149,149,192,2816.1806002609314,979.14148003772323,1461
chemtest_0508_koc50_149,149,194,130199.32750906073,41081.3655320808,1461
chemtest_0508_koc50_149,149,201,100072.15433383647,23185.094069425042,1461
chemtest_0508_koc50_149,149,206,54864.533698744934,28537.500528995944,1461
chemtest_0508_koc50_149,149,215,1325.7684461516646,651.33911073872366,1461
chemtest_0508_koc50_149,149,216,3804.1803729913468,1498.152120184667,1461
chemtest_0508_koc50_149,149,217,10765.078367113572,4199.5506077949258,1461
chemtest_0508_koc50_149,149,219,8185.8158250336874,3040.7424931901696,1461
chemtest_0508_koc50_149,149,220,5298.6624297578328,2347.9619217804325,1461
chemtest_0508_koc50_149,149,225,918.66185616505163,448.82118311609742,1461
chemtest_0508_koc50_149,149,227,13989.437701229632,5715.6453582779732,1461
chemtest_0508_koc50_149,149,228,39057.693326589171,18844.222589793004,1461
chemtest_0508_koc50_149,149,234,24187.689699971063,13984.544102969423,1461
chemtest_0508_koc50_149,149,235,19424.641005348403,7958.3650732791784,1461
chemtest_0508_koc50_149,149,236,649.830356630705,306.07071153577203,1461
chemtest_0508_koc50_149,149,239,465.50110838290283,210.91441918344046,1461
chemtest_0508_koc50_149,149,252,328.25548246957351,146.61158352345333,1461
chemtest_0508_koc50_149,149,282,233.81986473372567,101.01721604176321,1461
chemtest_0508_koc50_149,149,322,163.38301323581663,69.850022871355236,1461
chemtest_0508_koc50_167,167,167,2269678.0014373707,2276.927142182752,1461
chemtest_0508_koc50_167,167,184,628559.09118097287,205158.80450493997,1461
chemtest_0508_koc50_167,167,185,134472.97010054719,149672.72757427066,1461
chemtest_0508_koc50_167,167,188,1333.2085271971309,410.07200816688595,1461
chemtest_0508_koc50_167,167,192,1731.3702189937544,615.63216513417456,1461
chemtest_0508_koc50_167,167,194,89469.6847383709,61223.168200516768,1461
chemtest_0508_koc50_167,167,201,66549.23463158794,26788.814795422928,1461
chemtest_0508_koc50_167,167,206,38304.1585018344,22139.0445094798,1461
chemtest_0508_koc50_167,167,215,829.75548933212031,397.8514653088294,1461
chemtest_0508_koc50_167,167,216,2343.8177501674113,957.89690150697572,1461
chemtest_0508_koc50_167,167,217,6857.4254879315,2841.977114896441,1461
chemtest_0508_koc50_167,167,219,5162.7830214427813,2036.8038332603023,1461
chemtest_0508_koc50_167,167,220,3280.9570978728411,1538.0980773687918,1461
chemtest_0508_koc50_167,167,225,578.0491358086324,275.4855662457332,1461
chemtest_0508_koc50_167,167,227,9019.1627457604445,3922.6256220075352,1461
chemtest_0508_koc50_167,167,228,27030.559142815884,13968.567086872003,1461
chemtest_0508_koc50_167,167,234,15900.56947513279,10054.430597384679,1461
chemtest_0508_koc50_167,167,235,12668.174993447634,5567.0626041642709,1461
chemtest_0508_koc50_167,167,236,411.52739449454373,188.5201272025916,1461
chemtest_0508_koc50_167,167,239,296.83937451914016,130.413360772334,1461
chemtest_0508_koc50_167,167,252,210.2544920072657,91.0990498007928,1461
chemtest_0508_koc50_167,167,282,150.39773177650449,62.972459089652318,1461
chemtest_0508_koc50_167,167,322,105.20849159636178,43.686703549702905,1461