geoid,"Life expectancy at birth, as of 2010-2015."
48039660100,80.8
48039660200,77.9
48039660300,80.6
48039660400,83.9
48039660500,83.9
48039660601,80.4
48039660602,81.7
48039660701,82.2
48039660702,79
48039660801,82.4
48039660802,78
48039660900,77.5
48039661000,81.7
48039661100,71.9
48039661200,76.6
48039661300,76
48039661400,77
48039661501,75.7
48039661502,73.8
48039661601,78
48039661602,71.2
48039661700,77.2
48039661800,79.1
48039661900,81
48039662000,77.5
48039662100,75.5
48039662200,77.9
48039662300,74.5
48039662400,76.3
48039662500,-999
48039662600,76.8
48039662700,77.7
48039662800,75.4
48039662900,76.5
48039663100,82.4
48039663700,75.5
48039664000,77.7
48039664100,75.3
48039664200,70.7
48071710100,79.2
48071710200,77.4
48071710300,73.8
48071710401,76.8
48071710500,82.1
48071710600,-999
48157670101,77.6
48157670102,74.3
48157670200,77.8
48157670300,77.1
48157670400,77.9
48157670500,75.3
48157670601,78.5
48157670602,-999
48157670700,78.6
48157670800,73.8
48157670901,80.1
48157670902,-999
48157671001,79.4
48157671002,80.7
48157671100,80.2
48157671200,79.2
48157671300,77.6
48157671400,78.4
48157671501,82.4
48157671502,79.6
48157671601,80.9
48157671602,81.6
48157671700,83.9
48157671800,81.4
48157671900,77.8
48157672001,79.7
48157672002,81.5
48157672100,78.1
48157672200,80.3
48157672301,82.3
48157672302,82.9
48157672400,82
48157672500,83.4
48157672601,80.8
48157672602,79.1
48157672701,83.2
48157672702,-999
48157672800,80.8
48157672900,82.2
48157673001,82.2
48157673002,81
48157673003,-999
48157673101,83.2
48157673102,80.1
48157673200,79
48157673300,81.4
48157673400,81.1
48157673500,80
48157673600,80
48157673700,-999
48157673800,84.5
48157673901,80.7
48157673902,-999
48157674000,85.6
48157674100,82.5
48157674200,85
48157674300,80.4
48157674400,81
48157674501,85.3
48157674502,80.4
48157674601,82.8
48157674602,86.9
48157674603,78.5
48157674604,81.4
48157674700,83.5
48157674800,79
48157674900,76.8
48157675000,78.4
48157675100,78.8
48157675200,77.8
48157675300,78.1
48157675400,83.4
48157675500,-999
48157675600,79.8
48157675700,77.6
48157675800,77.5
48167720100,78.7
48167720200,81.6
48167720301,79.7
48167720302,-999
48167720400,79.4
48167720501,81
48167720502,80.4
48167720503,-999
48167720600,79.7
48167720700,83.9
48167720800,81.6
48167720900,73.1
48167721000,76.9
48167721100,82.2
48167721201,80.8
48167721202,78.3
48167721300,78
48167721400,80.7
48167721500,81
48167721600,76.7
48167721700,73.7
48167721800,74.7
48167721900,70.8
48167722001,79.3
48167722002,75.3
48167722100,78.9
48167722200,69.5
48167722300,75.4
48167722600,72.6
48167722700,71.6
48167722800,72.9
48167722900,72.3
48167723000,-999
48167723100,72.3
48167723200,74
48167723300,77.5
48167723400,76.2
48167723501,73.6
48167723502,77.2
48167723600,77.5
48167723700,69.4
48167723800,77.3
48167723900,80.9
48167724000,-999
48167724101,-999
48167724200,75.9
48167724300,76.8
48167724400,75.9
48167724500,-999
48167724600,72.4
48167724700,70.7
48167724800,70.9
48167724900,79.5
48167725000,74.6
48167725100,77.8
48167725200,78
48167725300,78.1
48167725400,74.7
48167725500,77.7
48167725600,76.5
48167725700,81.1
48167725800,72.7
48167725900,-999
48167726000,81.4
48167726100,85.9
48167726200,-999
48185180101,82.6
48185180102,72.6
48185180200,-999
48185180301,81.4
48185180302,78.4
48199030100,80.2
48199030200,77.8
48199030300,77.6
48199030400,76.6
48199030501,77.1
48199030502,78.3
48199030600,74.2
48199030700,73.7
48199030800,72.9
48199030900,74.6
48199031000,74.8
48201100000,81.3
48201210100,-999
48201210400,77.4
48201210500,76.7
48201210600,76.9
48201210700,72.5
48201210800,69.2
48201210900,69.1
48201211000,74.4
48201211100,71.3
48201211200,70.2
48201211300,69.9
48201211400,71.8
48201211500,77.8
48201211600,78.3
48201211700,71.8
48201211900,80.7
48201212300,76.8
48201212400,74.8
48201212500,72.5
48201220100,73.8
48201220200,77.5
48201220300,75.1
48201220400,79.1
48201220500,72.3
48201220600,74.5
48201220700,72.3
48201220800,73.9
48201220900,70.5
48201221000,74.2
48201221100,78.7
48201221200,76.4
48201221300,76.8
48201221400,78.5
48201221500,74.7
48201221600,78.9
48201221700,80.5
48201221800,72.6
48201221900,75.4
48201222000,75.3
48201222100,73.5
48201222200,79.1
48201222300,75.7
48201222401,-999
48201222402,76.1
48201222501,78.3
48201222502,76.5
48201222503,78.6
48201222600,74.4
48201222700,71.6
48201222800,75.7
48201222900,75
48201223001,74.5
48201223002,75.7
48201223100,75.9
48201230100,72.5
48201230200,68.9
48201230300,70.1
48201230400,69.9
48201230500,75.5
48201230600,69.5
48201230700,71
48201230800,68.8
48201230900,65.7
48201231000,70.8
48201231100,71.6
48201231200,72.1
48201231300,74.4
48201231400,68.8
48201231500,66.9
48201231600,70.8
48201231700,75.4
48201231800,76.3
48201231900,72.1
48201232000,76.3
48201232100,74.4
48201232200,76.3
48201232301,75.8
48201232302,77
48201232401,77.2
48201232402,76.2
48201232403,-999
48201232500,77.1
48201232600,78.8
48201232701,77.1
48201232702,77.2
48201232800,74.7
48201232900,76.3
48201233001,74.6
48201233002,81.2
48201233003,75.9
48201233101,78.7
48201233102,75.7
48201233103,73.5
48201233200,76.4
48201233300,77.6
48201233400,77.3
48201233500,77.4
48201233600,71
48201233701,74.5
48201233702,78
48201233703,75.2
48201240100,74
48201240400,-999
48201240501,74.4
48201240502,74.7
48201240600,-999
48201240701,75.7
48201240702,77.8
48201240801,-999
48201240802,77.2
48201240901,76.9
48201240902,80.8
48201241000,78.9
48201241101,-999
48201241102,75.8
48201241103,74.6
48201241200,79.4
48201241300,81.3
48201241400,79.8
48201241500,74.5
48201250100,77.3
48201250200,-999
48201250301,78
48201250302,-999
48201250401,80
48201250402,80.7
48201250500,74.7
48201250600,80.3
48201250701,78.7
48201250702,78
48201250800,80.5
48201250900,86.8
48201251000,84.5
48201251100,79.1
48201251200,81
48201251300,-999
48201251401,77.5
48201251402,76.8
48201251501,80
48201251502,81.7
48201251503,79.5
48201251600,75.4
48201251700,76.8
48201251800,74.9
48201251901,75.8
48201251902,76.9
48201252000,78.9
48201252100,71.3
48201252200,80.2
48201252301,80.5
48201252302,-999
48201252400,73.3
48201252500,76.3
48201252600,70.6
48201252700,75.2
48201252800,75.2
48201252900,72.3
48201253000,72
48201253100,79.3
48201253200,77.3
48201253300,79.7
48201253400,-999
48201253500,78.8
48201253600,73.7
48201253700,76.4
48201253800,76.9
48201253900,77.4
48201254000,76.1
48201254100,74.5
48201254200,79.7
48201254300,73.6
48201254400,75.4
48201254500,77.5
48201254600,78.8
48201254700,80.6
48201310100,77.2
48201310200,-999
48201310300,-999
48201310400,82.9
48201310500,80.2
48201310600,75.5
48201310700,80.9
48201310800,75.4
48201310900,76.7
48201311000,75.7
48201311100,78.2
48201311200,82.5
48201311300,79.2
48201311400,74.3
48201311500,81.1
48201311600,-999
48201311700,79.4
48201311800,80.6
48201311900,78
48201312000,-999
48201312100,-999
48201312200,68.4
48201312300,75.6
48201312400,72.9
48201312500,74.6
48201312600,82.6
48201312700,-999
48201312800,73.5
48201312900,73
48201313000,77.3
48201313100,80.3
48201313200,74.8
48201313300,70.6
48201313400,70.8
48201313500,74.4
48201313600,74.7
48201313700,73.7
48201313800,72.7
48201313900,78.6
48201314001,75.1
48201314002,-999
48201314300,-999
48201314400,79.7
48201320100,75.3
48201320200,79
48201320500,-999
48201320601,80.7
48201320602,75.8
48201320700,76.5
48201320800,77.5
48201320900,79.3
48201321000,79.3
48201321100,80.1
48201321200,75
48201321300,80.2
48201321401,77.4
48201321402,75.7
48201321500,75.7
48201321600,79.8
48201321700,79.2
48201321800,80.7
48201321900,77.4
48201322000,-999
48201322100,75.4
48201322200,76.4
48201322600,76.4
48201322700,76.1
48201322800,76.9
48201322900,74.8
48201323000,75.7
48201323100,78.8
48201323200,79
48201323300,73.4
48201323400,76
48201323500,72.9
48201323600,81.4
48201323701,75.1
48201323702,75.8
48201323801,76.7
48201323802,76.9
48201323900,73.4
48201324000,78.6
48201324100,74.3
48201324200,75.2
48201330100,76.9
48201330200,77.8
48201330301,77.4
48201330302,77.8
48201330303,-999
48201330400,77.8
48201330500,77
48201330600,75.4
48201330700,74.4
48201330800,78.9
48201330900,-999
48201331100,69.4
48201331200,72.5
48201331300,71.4
48201331400,67.5
48201331500,73.6
48201331601,72.2
48201331602,-999
48201331700,73.3
48201331800,73.5
48201331900,66.1
48201332000,73.5
48201332100,74.7
48201332200,71.7
48201332300,71
48201332400,68.1
48201332500,74.8
48201332600,77.3
48201332700,76.8
48201332800,77.9
48201332900,79.3
48201333000,78.1
48201333100,71.6
48201333201,78.6
48201333202,74.7
48201333300,-999
48201333500,76.9
48201333600,76.3
48201333700,77.2
48201333800,77.5
48201333901,78
48201333902,77.4
48201334001,78.8
48201334002,78.1
48201334003,78.2
48201334100,78.1
48201340100,-999
48201340201,80.1
48201340202,79.8
48201340203,81.1
48201340301,89.1
48201340302,80.9
48201340400,87.7
48201340500,79.3
48201340600,80.4
48201340700,80.8
48201340800,79.1
48201340900,76
48201341000,79.6
48201341100,76.1
48201341201,79.3
48201341202,78.1
48201341301,81
48201341302,80.3
48201341400,79.9
48201341501,80
48201341502,81.4
48201341600,80.6
48201341700,78
48201341800,76.5
48201342001,-999
48201342002,76.2
48201342100,72.6
48201342200,75.3
48201342300,75.8
48201342400,76.6
48201342500,77.9
48201342700,76.3
48201342800,79.2
48201342900,78.7
48201343000,76.3
48201343100,79.5
48201343200,77.2
48201343301,80.3
48201343302,77.5
48201343600,74.9
48201343700,75.5
48201350100,82.3
48201350200,78.3
48201350300,80.6
48201350400,81
48201350500,81.6
48201350601,82.4
48201350602,79.3
48201350700,78.1
48201350801,79.6
48201350802,81.6
48201410100,79.5
48201410200,81.1
48201410300,80.9
48201410401,83.5
48201410402,77.9
48201410500,79.5
48201410600,-999
48201410701,80.9
48201410702,73.9
48201410800,76.9
48201410900,78.7
48201411000,85.3
48201411100,82.8
48201411200,83.6
48201411300,86.6
48201411400,87.2
48201411501,87.1
48201411502,80.9
48201411600,78.5
48201411700,-999
48201411800,81.1
48201411900,83.6
48201412000,81.7
48201412100,-999
48201412200,81.9
48201412300,83.5
48201412400,82
48201412500,82.6
48201412600,81.5
48201412700,84.7
48201412800,87.4
48201412900,79.3
48201413000,84.5
48201413100,81.2
48201413201,79.9
48201413202,80.9
48201413300,83.7
48201420100,77
48201420200,87.6
48201420300,80.7
48201420400,81.2
48201420500,77.8
48201420600,79.5
48201420700,80.9
48201420800,80.4
48201420900,83.4
48201421000,-999
48201421101,-999
48201421102,76.5
48201421201,-999
48201421202,-999
48201421300,78.6
48201421401,-999
48201421402,-999
48201421403,80.9
48201421500,75.9
48201421600,-999
48201421700,85.3
48201421800,81.3
48201421900,82.5
48201422000,82.2
48201422100,82
48201422200,74.7
48201422301,73.5
48201422302,78
48201422401,78.9
48201422402,78
48201422500,77.7
48201422600,78.4
48201422701,81.9
48201422702,76.8
48201422800,83.5
48201422900,79.8
48201423000,77.3
48201423100,-999
48201423201,77.6
48201423202,75.9
48201423301,82
48201423302,79.4
48201423401,76.9
48201423402,79.1
48201423500,80.4
48201423600,78.4
48201430100,84.8
48201430200,80.9
48201430300,83.9
48201430400,83.8
48201430500,80.9
48201430600,-999
48201430700,84.3
48201430800,82.6
48201430900,85.4
48201431000,79.2
48201431101,82.9
48201431102,80.3
48201431201,78.5
48201431202,78.9
48201431301,80.5
48201431302,84.8
48201431401,81.8
48201431402,80.9
48201431501,81.1
48201431502,82.1
48201431600,84.2
48201431700,82.9
48201431801,84
48201431802,81.5
48201431900,76.9
48201432001,-999
48201432002,-999
48201432100,75.3
48201432200,77.6
48201432300,-999
48201432400,75.9
48201432500,77
48201432600,82.9
48201432701,-999
48201432702,79.3
48201432801,-999
48201432802,80.1
48201432901,77.1
48201432902,83.7
48201433001,80.8
48201433002,-999
48201433003,84.1
48201433100,-999
48201433201,81.7
48201433202,81
48201433300,80.3
48201433400,75.9
48201433501,-999
48201433502,-999
48201433600,74.7
48201440100,80
48201450100,86.9
48201450200,83.6
48201450300,80.8
48201450400,85.5
48201450500,85.6
48201450600,81.8
48201450700,85.6
48201450801,80.6
48201450802,80
48201450900,78.4
48201451001,77
48201451002,75.9
48201451100,80
48201451200,83.7
48201451300,83.7
48201451401,78.6
48201451402,-999
48201451403,-999
48201451500,-999
48201451601,87.5
48201451602,77.5
48201451700,-999
48201451800,78.1
48201451901,76.4
48201451902,80.7
48201452000,77.5
48201452100,81.3
48201452201,77
48201452202,79.8
48201452300,-999
48201452400,80
48201452500,80.1
48201452600,75.9
48201452700,85.6
48201452801,83.1
48201452802,74.7
48201452900,81.9
48201453000,75.3
48201453100,-999
48201453200,79.5
48201453300,-999
48201453401,74.7
48201453402,81.4
48201453403,75.9
48201453501,75.9
48201453502,-999
48201453601,77.1
48201453602,74.7
48201453700,77.5
48201453800,79.6
48201453900,75.9
48201454000,75.7
48201454100,79.7
48201454200,76.9
48201454301,83.4
48201454302,79.8
48201454400,-999
48201454501,80.7
48201454502,80.8
48201454600,76
48201454700,80.2
48201454800,80.1
48201454900,84
48201455000,78.7
48201455101,79.9
48201455102,76.5
48201455200,79.5
48201455300,75.6
48201510100,79.2
48201510200,78.5
48201510300,79.1
48201510400,81.1
48201510500,78.9
48201510600,81.8
48201510700,79
48201510800,81.7
48201510900,81.3
48201511001,79
48201511002,78.6
48201511100,74.4
48201511200,81.9
48201511301,76.3
48201511302,79.7
48201511400,77.2
48201511500,80.4
48201511600,78.5
48201520100,75.7
48201520200,80.9
48201520300,78.7
48201520400,76.1
48201520500,75.9
48201520601,75.4
48201520602,80.2
48201520700,74.6
48201521000,76.6
48201521100,77.5
48201521200,73.3
48201521300,76.6
48201521400,75.6
48201521500,78.8
48201521600,76.2
48201521700,73.7
48201521800,80.4
48201521900,82
48201522000,76.5
48201522100,79.3
48201522201,77.8
48201522202,78.8
48201522301,80.8
48201522302,80.2
48201522401,81.1
48201522402,78.8
48201522500,82.1
48201530100,76.5
48201530200,82.1
48201530300,74.4
48201530400,72.5
48201530500,72.7
48201530600,72.9
48201530700,75.5
48201530800,77.6
48201530900,78.8
48201531000,77.6
48201531100,75.2
48201531200,79.9
48201531300,76.5
48201531400,78.5
48201531500,77.2
48201531600,78
48201531700,80.9
48201531800,66.4
48201531900,70.4
48201532001,75.5
48201532002,77.8
48201532100,81.7
48201532200,75.6
48201532300,75.2
48201532400,81.1
48201532501,76.5
48201532502,75.2
48201532600,74.7
48201532700,83.3
48201532800,77.5
48201532900,76.2
48201533000,74.4
48201533100,75.6
48201533200,78.1
48201533300,70
48201533400,76.2
48201533500,77.4
48201533600,-999
48201533701,72.9
48201533702,76.6
48201533801,79.1
48201533802,78.5
48201533901,80.8
48201533902,80.6
48201534001,75.2
48201534002,-999
48201534003,78.2
48201534100,77.8
48201534201,76.4
48201534202,79.6
48201534203,75.9
48201540100,82
48201540200,-999
48201540501,-999
48201540502,77.3
48201540601,80.4
48201540602,77.4
48201540700,82
48201540800,77.8
48201540901,-999
48201540902,77.6
48201541001,78.1
48201541002,84.7
48201541003,81.4
48201541100,84.7
48201541201,77.7
48201541202,82.8
48201541203,-999
48201541300,79.2
48201541400,82.6
48201541500,-999
48201541601,77.8
48201541602,77.1
48201541700,79
48201541800,76.8
48201541900,79.3
48201542000,79.1
48201542101,78.9
48201542102,79.4
48201542200,-999
48201542301,78.8
48201542302,78.3
48201542400,78.7
48201542500,82
48201542600,80.4
48201542700,76.2
48201542800,79.4
48201542900,-999
48201543001,-999
48201543002,79.6
48201543003,79.1
48201543100,82.8
48201543200,78.8
48201550100,-999
48201550200,74.4
48201550301,75.9
48201550302,75.6
48201550401,75.5
48201550402,-999
48201550500,75.9
48201550601,74.7
48201550602,-999
48201550603,-999
48201550700,-999
48201550800,77.7
48201550900,80.4
48201551000,74.7
48201551100,78.7
48201551200,78.1
48201551300,-999
48201551400,85.1
48201551500,75.9
48201551600,77.4
48201551701,78.8
48201551702,-999
48201551703,80.1
48201551800,81.7
48201551900,-999
48201552001,78.5
48201552002,80.4
48201552101,77.8
48201552102,-999
48201552103,77.6
48201552200,77.2
48201552301,80.7
48201552302,77.3
48201552400,76.3
48201552500,83
48201552601,75
48201552602,79.8
48201552700,78.3
48201552800,86
48201552900,82.3
48201553001,80.8
48201553002,81
48201553100,76.1
48201553200,78.1
48201553300,77
48201553401,80.7
48201553402,80.2
48201553403,78.9
48201553500,77.4
48201553600,79.7
48201553700,79.2
48201553801,76.1
48201553802,80.1
48201553900,-999
48201554001,81.1
48201554002,81.8
48201554101,-999
48201554102,79.6
48201554200,78.4
48201554301,81.3
48201554302,80.8
48201554401,79.2
48201554402,79.3
48201554403,80.5
48201554501,81.8
48201554502,81
48201554600,80.6
48201554700,81.4
48201554801,79.8
48201554802,77.9
48201554901,77.8
48201554902,80.1
48201554903,77.9
48201555000,78.5
48201555100,79.4
48201555200,76.3
48201555301,-999
48201555302,80.8
48201555303,79.1
48201555401,73.6
48201555402,75.5
48201555501,75.6
48201555502,79.4
48201555600,79.1
48201555701,79.5
48201555702,80.8
48201556000,79.2
48201980000,-999
48201980100,-999
48241950500,74.8
48241950600,74.9
48241950700,79
48241950800,75.1
48245000101,73.3
48245000102,73.3
48245000103,75.4
48245000200,76.9
48245000302,80.1
48245000304,76.5
48245000306,78.9
48245000307,81.2
48245000308,78
48245000309,78.3
48245000310,84.4
48245000400,75.2
48245000500,72.2
48245000600,74.4
48245000700,68.2
48245000900,72.8
48245001100,71.4
48245001200,71.7
48245001301,73.2
48245001302,76.1
48245001303,76.8
48245001700,69.3
48245001900,73.1
48245002000,73.4
48245002100,72.5
48245002200,71.2
48245002300,72
48245002400,75
48245002500,73
48245002600,72.3
48245005100,-999
48245005400,65.8
48245005500,76.3
48245005600,75.1
48245005900,69.7
48245006100,-999
48245006300,70.8
48245006400,72.2
48245006500,70.6
48245006600,73.2
48245006700,74.1
48245006800,73.4
48245006900,73.5
48245007001,72.4
48245007002,76.5
48245007100,73
48245010100,78.4
48245010200,74.9
48245010300,72.8
48245010400,76.6
48245010500,76.6
48245010600,74.7
48245010700,79
48245010800,76
48245010901,78.2
48245010902,79.3
48245011001,-999
48245011002,80.3
48245011101,77.5
48245011102,77.1
48245011201,78.6
48245011202,-999
48245011203,-999
48245011302,-999
48245011303,76.9
48245011304,75.8
48245011400,79.2
48245011500,86
48245011600,78.6
48245011700,71.1
48245011800,67.9
48245980000,-999
48291700100,73.9
48291700200,72.7
48291700300,77.3
48291700400,76.5
48291700500,72.3
48291700600,74.4
48291700700,82.9
48291700800,75.5
48291700900,79.4
48291701000,72.4
48291701100,75.7
48291701200,-999
48291701300,76.6
48291701400,79.8
48321730100,75.3
48321730201,77.4
48339690100,76.7
48339690201,-999
48339690202,75.5
48339690300,76.5
48339690401,78.1
48339690402,77.9
48339690500,80.1
48339690601,80.9
48339690602,81
48339690700,81.9
48339690800,82.8
48339690900,82.6
48339691000,82.7
48339691100,77
48339691200,86.4
48339691301,84.2
48339691302,76.6
48339691400,82.8
48339691500,81.6
48339691601,77.9
48339691602,77.3
48339691700,82.6
48339691800,80.3
48339691900,76.7
48339692001,79.3
48339692002,-999
48339692100,80.2
48339692200,79.8
48339692300,77.2
48339692400,76.6
48339692500,74.3
48339692601,73.2
48339692602,75.5
48339692700,73.3
48339692801,73.7
48339692802,74
48339692900,74.4
48339693000,75.2
48339693101,76.3
48339693102,79.4
48339693200,79.5
48339693300,77.3
48339693400,74.4
48339693500,75.8
48339693600,75.5
48339693700,80.4
48339693800,75.2
48339693900,76.1
48339694000,74.1
48339694101,74.6
48339694102,76.7
48339694201,74.8
48339694202,79.6
48339694301,82
48339694302,81.9
48339694400,74.5
48339694500,80.4
48339694600,77.1
48339694700,75.3
48351950200,76.5
48351950300,71.9
48351950400,82.5
48361020300,71.5
48361020500,-999
48361020700,72.2
48361020800,73
48361021100,71
48361021200,77.5
48361021300,77.7
48361021400,75.9
48361021501,78.2
48361021502,73.9
48361021600,73.8
48361021700,72.9
48361021800,77.3
48361021900,71
48361022000,72
48361022200,74.6
48361022300,79
48361022400,75.1
48373210101,72.8
48373210102,73.7
48373210203,-999
48373210204,74.7
48373210205,75.6
48373210206,74.4
48373210302,75
48373210500,75.1
48407200101,72
48407200102,74.9
48407200200,75.2
48407200300,76.3
48457950200,79.2
48457950400,75.1
48457950500,79.3
48471790101,-999
48471790102,77.5
48471790103,82.2
48471790200,79.7
48471790300,81
48471790400,75
48471790500,75.1
48471790600,-999
48471790700,73.8
48471790800,75.1
48473680100,80.8
48473680200,81.5
48473680300,82.4
48473680400,-999
48473680500,77.8
48473680600,78
48481740500,75.8
48481740600,79.8
